MP,HMM_Mean,HMM_Low,HMM_High,HMM_NS_Mean,HMM_NS_Low,HMM_NS_High,SGF_S_Mean,SGF_S_Low,SGF_S_High,Trad_Mean,Trad_Low,Trad_High,Cox_Mean,Cox_Low,Cox_High
15.5,80.42213646322489,73.46329137682915,86.84240307658911,81.35241769999266,74.36569549143314,87.97237588092685,79.59915740042925,72.47202217578888,86.1193672940135,80.49001687765121,73.60903531312943,87.11395032703876,86.46448277072933,81.85987515910024,90.61749727185887
16.0,80.71157000213861,73.80282126367092,87.14558947831392,81.60825260728598,74.68221001327038,88.31210715696216,79.62020410597324,72.48690940439701,86.11167836934328,80.50875410437584,73.62760663032532,87.10593190044165,86.61898934810668,82.05674375179967,90.73459666953988
16.5,72.29072393476963,63.32697033882141,81.06066029518843,65.50108240544796,47.53289818763733,81.46956443786621,73.52678667008877,63.991660699248314,82.57833328098059,66.97846506536007,45.32903239130974,84.86950993537903,86.76779893138128,82.24668663718069,90.85453114738
17.0,72.60582301020622,63.76104079186916,81.40790592879057,65.7962746322155,47.76979610323906,81.81064788252115,73.5485116392374,64.04323145747185,82.5964654237032,66.99861992895603,45.33082649111748,84.87237680703402,86.91127373962452,82.42836421941443,90.97564078388518
17.5,72.921804189682,64.08749677240849,81.67257063090801,66.08518788218498,47.86794722080231,82.18568723648787,73.56959342956543,64.09329980611801,82.61406350880861,67.01818618923426,45.33257707953453,84.87515814602375,87.04974350425528,82.6037847762552,91.09228928632334
18.0,72.28341756761074,60.82322746515274,80.8072379976511,69.87071879208088,52.24635198712349,84.4226736202836,74.47074620425701,61.874375343322754,82.60588243603706,72.23969888687134,51.93989373743534,87.34852880239487,87.18350919597516,82.77353145756263,91.20475291055183
18.5,72.57731534540653,61.00960224866867,80.9151441603899,70.14052753150463,52.45418503880501,84.55876603722572,74.49038763344288,61.907011196017265,82.62018740177155,72.25750208646059,51.94040931761265,87.36961273476481,87.31284623526855,82.94208521486433,91.30641648725322
19.0,72.86019639670849,61.132710352540016,81.07023507356644,70.39146427810192,52.74996355175972,84.7625419870019,74.50949241220951,61.93877823650837,82.63410560786724,72.27482050657272,51.94090977311134,87.39011345431209,87.43800726974524,83.1401771637774,91.39837159389667
19.5,74.44867081940174,60.13314291834831,85.07773850113153,77.81367944926023,56.10132671892643,89.58154134452342,76.74939801543951,62.11706571280956,88.68690984323621,80.10687512159348,56.18588663637638,91.97974475100636,87.55922458637878,83.33213918181596,91.48737156184183
20.0,74.70260819792747,60.25259852409363,85.35462461411953,78.02225543558598,56.21278256177902,89.86176099628209,76.76656409353018,62.150288224220276,88.70194712653756,80.12075120210648,56.21798440814018,92.00245244428515,87.67671221456268,83.51829716613487,91.57357969497585
