sim_id,CoxPH_HR,CoxPH_beta_S,CoxPH_beta_GS,CoxPH_LL,CoxPH_AIC,CoxPH_BIC,CoxPH_nparams,Markov_RR,Markov_risk_never,Markov_risk_always,Markov_beta_S,Markov_beta_GS,Markov_LL,Markov_AIC,Markov_BIC,Markov_nparams,HMM_RR,HMM_risk_never,HMM_risk_always,HMM_beta_S,HMM_beta_GS,HMM_beta_Z,HMM_LL,HMM_AIC,HMM_BIC,HMM_nparams
10,1.3289590451337001,0.2843959629535675,0.34622761607170105,-10843.461639404297,21740.923278808594,21954.317442727068,27,4.254847946891925,0.054179735481739044,0.23052653670310974,0.30805689096450806,0.34589120745658875,-10819.905364990234,21693.81072998047,21907.204893898943,27,5.986359598557055,0.05277853459119797,0.31595128774642944,-0.07380595803260803,0.4724805951118469,1.4387900829315186,-10777.11328125,21608.2265625,21821.620726418474,27
11,1.3358292252919235,0.289552241563797,0.29246026277542114,-10929.346801757812,21912.693603515625,22126.0877674341,27,4.375380125682286,0.054732710123062134,0.23947641253471375,0.2956311106681824,0.29480990767478943,-10929.374450683594,21912.748901367188,22126.14306528566,27,5.710997324085517,0.05464811250567436,0.3120952248573303,-0.061897408217191696,0.4174709916114807,1.4203308820724487,-10864.31640625,21782.6328125,21996.026976418474,27
12,1.2440006096192666,0.21833248436450958,0.2646177113056183,-10871.317138671875,21796.63427734375,22010.028441262224,27,4.680062458861441,0.05620092153549194,0.26302382349967957,0.23073524236679077,0.30360934138298035,-10883.179748535156,21820.359497070312,22033.753660988787,27,5.876843804937371,0.05359478294849396,0.31496816873550415,-0.1394924819469452,0.4643126130104065,1.4712663888931274,-10807.81640625,21669.6328125,21883.026976418474,27
13,1.4109489338217613,0.3442624807357788,0.27853381633758545,-11099.850952148438,22253.701904296875,22467.09606821535,27,3.957768993341082,0.05704119801521301,0.22575588524341583,0.32532063126564026,0.2624693512916565,-11096.251068115234,22246.50213623047,22459.896300148943,27,5.90595302907478,0.05411728471517563,0.31961414217948914,-0.04733474925160408,0.4287969172000885,1.432639241218567,-11026.5107421875,22107.021484375,22320.415648293474,27
14,1.0726856241660598,0.07016543298959732,0.3682616055011749,-10651.434143066406,21356.868286132812,21570.262450051287,27,3.5357985800964,0.05760244280099869,0.20367063581943512,0.06506174802780151,0.3631103038787842,-10654.1103515625,21362.220703125,21575.614867043474,27,5.038824833852305,0.05460400506854057,0.27514001727104187,-0.2725992202758789,0.5622016787528992,1.402754306793213,-10580.2568359375,21214.513671875,21427.907835793474,27
15,1.272832824168454,0.24124498665332794,0.28549230098724365,-11092.419189453125,22238.83837890625,22452.232542824724,27,3.216594145073215,0.06316997110843658,0.20319215953350067,0.2367837280035019,0.274739146232605,-11087.970642089844,22229.941284179688,22443.33544809816,27,5.210329177728634,0.05774647369980812,0.3008781373500824,-0.14723995327949524,0.4144947826862335,1.3890994787216187,-11039.0703125,22132.140625,22345.534788918474,27
16,1.3048231765337728,0.2660675346851349,0.331533819437027,-10889.263793945312,21832.527587890625,22045.9217518091,27,4.469916752041502,0.057143550366163254,0.25542691349983215,0.25250881910324097,0.3310888111591339,-10909.017852783203,21872.035705566406,22085.42986948488,27,5.491038405503961,0.05452137440443039,0.2993789613246918,-0.13070951402187347,0.4680141806602478,1.3958826065063477,-10789.7705078125,21633.541015625,21846.935179543474,27
17,1.2481423084796992,0.22165629267692566,0.2681870460510254,-11111.583618164062,22277.167236328125,22490.5614002466,27,4.501575564326573,0.05466975271701813,0.2461000233888626,0.23608800768852234,0.2496086061000824,-11077.937225341797,22209.874450683594,22423.268614602068,27,6.280116238926798,0.05258115753531456,0.33021578192710876,-0.12092949450016022,0.4464002251625061,1.5366986989974976,-10971.68359375,21997.3671875,22210.761351418474,27
18,1.2925534646551982,0.2566196918487549,0.2599148750305176,-11164.291961669922,22382.583923339844,22595.978087258318,27,3.8826820926092327,0.05996351316571236,0.23281925916671753,0.2537291944026947,0.28340497612953186,-11168.140594482422,22390.281188964844,22603.675352883318,27,5.622164233953173,0.05651850625872612,0.317756325006485,-0.14600516855716705,0.40352383255958557,1.4590669870376587,-11113.32421875,22280.6484375,22494.042601418474,27
19,1.3505250583847639,0.300493448972702,0.3152013421058655,-10999.126556396484,22052.25311279297,22265.647276711443,27,4.397079223281174,0.0571824349462986,0.25143569707870483,0.27808764576911926,0.30452460050582886,-11007.6533203125,22069.306640625,22282.700804543474,27,5.864212336198232,0.054825566709041595,0.3215087652206421,-0.07359254360198975,0.4421299695968628,1.431375503540039,-10953.9384765625,21961.876953125,22175.271117043474,27
20,1.256071680868488,0.22798913717269897,0.3322107195854187,-11200.325073242188,22454.650146484375,22668.04431040285,27,4.004775140748995,0.058423228561878204,0.23397189378738403,0.2292993664741516,0.32788926362991333,-11199.619445800781,22453.238891601562,22666.633055520037,27,5.920469255147931,0.054567668586969376,0.32306620478630066,-0.16712020337581635,0.46836528182029724,1.4892317056655884,-11129.8388671875,22313.677734375,22527.071898293474,27
21,1.1916475764304229,0.17533686757087708,0.36109480261802673,-11071.027893066406,22196.055786132812,22409.449950051287,27,3.8205865848192233,0.05843152478337288,0.22324270009994507,0.17196562886238098,0.361465722322464,-11075.917510986328,22205.835021972656,22419.22918589113,27,5.570798854027765,0.05491568520665169,0.3059242367744446,-0.2054913341999054,0.49229419231414795,1.458971619606018,-10996.892578125,22047.78515625,22261.179320168474,27
22,1.1959176182643663,0.17891377210617065,0.36574679613113403,-11266.157348632812,22586.314697265625,22799.7088611841,27,3.9183701777829554,0.059053126722574234,0.2313920110464096,0.1779954731464386,0.3675374984741211,-11269.830139160156,22593.660278320312,22807.054442238787,27,6.592227440380177,0.0523245669901371,0.34493544697761536,-0.18928861618041992,0.4986989200115204,1.6067814826965332,-11176.341796875,22406.68359375,22620.077757668474,27
23,1.2701661361994683,0.23914770781993866,0.27701982855796814,-11190.174743652344,22434.349487304688,22647.74365122316,27,4.716024872282884,0.058041106909513474,0.273723304271698,0.20512735843658447,0.28731822967529297,-11230.152801513672,22514.305603027344,22727.699766945818,27,5.5892698798560385,0.056020013988018036,0.31311097741127014,-0.14938786625862122,0.47651293873786926,1.4282363653182983,-11126.5908203125,22307.181640625,22520.575804543474,27
24,1.279240635246618,0.24626664817333221,0.20034414529800415,-11283.77896118164,22621.55792236328,22834.952086281755,27,4.11383457492071,0.0570778027176857,0.23480863869190216,0.2336999922990799,0.15382127463817596,-11282.228393554688,22618.456787109375,22831.85095102785,27,5.7706800527889985,0.05566337704658508,0.32121554017066956,-0.17796289920806885,0.41275665163993835,1.5111491680145264,-11173.021484375,22400.04296875,22613.437132668474,27
25,1.1237710847070108,0.11669006943702698,0.36213988065719604,-10884.234832763672,21822.469665527344,22035.863829445818,27,3.3737123026370384,0.06040363758802414,0.2037844955921173,0.14928467571735382,0.37240904569625854,-10884.872741699219,21823.745483398438,22037.13964731691,27,5.081641200326156,0.05641372129321098,0.28667429089546204,-0.21533720195293427,0.49599552154541016,1.3975694179534912,-10832.798828125,21719.59765625,21932.991820168474,27
26,1.2569511788284673,0.22868908941745758,0.30055534839630127,-10761.075653076172,21576.151306152344,21789.545470070818,27,3.56877475928802,0.05951615050435066,0.21239973604679108,0.26511237025260925,0.31785857677459717,-10769.419082641602,21592.838165283203,21806.232329201677,27,5.8711706811787225,0.05335582420229912,0.31326115131378174,-0.1547519415616989,0.4286572337150574,1.4761707782745361,-10689.02734375,21432.0546875,21645.448851418474,27
27,1.2927510544527647,0.25677254796028137,0.27732089161872864,-10758.066223144531,21570.132446289062,21783.526610207537,27,5.531974491324046,0.050900898873806,0.28158247470855713,0.2551448941230774,0.2836422920227051,-10761.192504882812,21576.385009765625,21789.7791736841,27,6.1658236629772025,0.05218476429581642,0.3217620551586151,-0.11889789998531342,0.4897102415561676,1.4921265840530396,-10685.548828125,21425.09765625,21638.491820168474,27
28,1.2374107597999044,0.21302109956741333,0.35233792662620544,-10832.438995361328,21718.877990722656,21932.27215464113,27,5.067378382571297,0.05237237364053726,0.26539063453674316,0.214242622256279,0.3558734059333801,-10829.23501586914,21712.47003173828,21925.864195656755,27,6.173851858360582,0.05179458484053612,0.3197720944881439,-0.17238812148571014,0.5343425273895264,1.508447289466858,-10717.0419921875,21488.083984375,21701.478148293474,27
29,1.1398075865206039,0.13085946440696716,0.3281356990337372,-11134.268371582031,22322.536743164062,22535.930907082537,27,3.935358495125478,0.05835177004337311,0.22963513433933258,0.14230996370315552,0.3499350845813751,-11152.775894165039,22359.551788330078,22572.945952248552,27,5.76282860562804,0.05540928989648819,0.31931424140930176,-0.1968301236629486,0.5059451460838318,1.4684581756591797,-11084.396484375,22222.79296875,22436.187132668474,27
30,1.1590541869684077,0.1476043164730072,0.34221625328063965,-11150.34408569336,22354.68817138672,22568.082335305193,27,4.208741074377571,0.05840805172920227,0.24582436680793762,0.12557116150856018,0.3438807427883148,-11171.14486694336,22396.28973388672,22609.683897805193,27,5.079875988732437,0.056458745151758194,0.2868034243583679,-0.2133038491010666,0.552290678024292,1.3681391477584839,-11060.2353515625,22174.470703125,22387.864867043474,27
31,1.1813467231794164,0.16665507853031158,0.35417822003364563,-11077.203994750977,22208.407989501953,22421.802153420427,27,3.968025531617349,0.05749824643135071,0.2281545102596283,0.1772349625825882,0.3405979573726654,-11077.54898071289,22209.09796142578,22422.492125344255,27,5.652061604890994,0.05493497848510742,0.31049588322639465,-0.14830759167671204,0.48405712842941284,1.4357446432113647,-11012.2763671875,22078.552734375,22291.946898293474,27
32,1.1606560617260786,0.14898541569709778,0.2596137523651123,-10953.142852783203,21960.285705566406,22173.67986948488,27,5.331569597839842,0.053604088723659515,0.2857939302921295,0.16733083128929138,0.2651023268699646,-10936.323516845703,21926.647033691406,22140.04119760988,27,5.690228823211338,0.05442681908607483,0.3097010552883148,-0.12838909029960632,0.45844054222106934,1.4363489151000977,-10781.7919921875,21617.583984375,21830.978148293474,27
33,1.2636004656578275,0.23396515846252441,0.27185606956481934,-11202.377716064453,22458.755432128906,22672.14959604738,27,4.678730029464936,0.05628042668104172,0.2633209228515625,0.2500097155570984,0.27024003863334656,-11195.205444335938,22444.410888671875,22657.80505259035,27,5.8196664388925345,0.055011577904224396,0.3201490342617035,-0.11368337273597717,0.4442533850669861,1.4569675922393799,-11112.91015625,22279.8203125,22493.214476418474,27
34,1.204772917040364,0.18629109859466553,0.2628815770149231,-10863.897369384766,21781.79473876953,21995.188902688005,27,3.7742119344784646,0.05818214640021324,0.21959175169467926,0.22135694324970245,0.2961917519569397,-10860.466217041016,21774.93243408203,21988.326598000505,27,5.391626211350965,0.05558836832642555,0.2997117042541504,-0.13946741819381714,0.4339591860771179,1.4065014123916626,-10801.634765625,21657.26953125,21870.663695168474,27
35,1.2813295322343659,0.24789823591709137,0.38443082571029663,-11116.488723754883,22286.977447509766,22500.37161142824,27,3.9952481081917233,0.05986322462558746,0.2391684353351593,0.24433402717113495,0.38415971398353577,-11129.856170654297,22313.712341308594,22527.106505227068,27,5.370748905993519,0.056071143597364426,0.3011440336704254,-0.15390688180923462,0.5144771337509155,1.3799524307250977,-11039.0078125,22132.015625,22345.409788918474,27
