sim_id,Full_Model_LL,Full_Model_AIC,Full_Model_BIC,Full_Model_nparams,Full_Model_beta_GS,No_Interaction_LL,No_Interaction_AIC,No_Interaction_BIC,No_Interaction_nparams,No_PackYears_LL,No_PackYears_AIC,No_PackYears_BIC,No_PackYears_nparams,No_PackYears_beta_GS,LRT_No_Interaction_chi2,LRT_No_Interaction_pvalue,LRT_No_PackYears_chi2,LRT_No_PackYears_pvalue
73,-10947.2880859375,21948.576171875,22161.970335793474,27,0.4513343572616577,-10964.736328125,21977.47265625,22167.156357510867,24,-11022.5146484375,22095.029296875,22292.616485688402,25,0.4718787670135498,34.896484375,1.2811655281108614e-07,150.453125,0.0
74,-10751.490234375,21556.98046875,21770.374632668474,27,0.49253809452056885,-10769.6015625,21587.203125,21776.886826260867,24,-10818.255859375,21686.51171875,21884.098907563402,25,0.5109120011329651,36.22265625,6.719063938565029e-08,133.53125,0.0
75,-11222.876953125,22499.75390625,22713.148070168474,27,0.5199975371360779,-11246.3251953125,22540.650390625,22730.334091885867,24,-11247.0146484375,22544.029296875,22741.616485688402,25,0.542184054851532,46.896484375,3.6563618799334563e-10,48.275390625,3.289513106352615e-11
76,-10864.8544921875,21783.708984375,21997.103148293474,27,0.4756486713886261,-10868.4462890625,21784.892578125,21974.576279385867,24,-10896.0283203125,21842.056640625,22039.643829438402,25,0.5007050037384033,7.18359375,0.06627062343874557,62.34765625,2.8976820942716586e-14
77,-10882.4384765625,21818.876953125,22032.271117043474,27,0.48491185903549194,-10903.9619140625,21855.923828125,22045.607529385867,24,-10937.033203125,21924.06640625,22121.653595063402,25,0.5040359497070312,43.046875,2.4052457803236393e-09,109.189453125,0.0
78,-10880.2841796875,21814.568359375,22027.962523293474,27,0.5189759135246277,-10900.658203125,21849.31640625,22039.000107510867,24,-10931.83203125,21913.6640625,22111.251251313402,25,0.528272271156311,40.748046875,7.39534311566814e-09,103.095703125,0.0
79,-10827.5693359375,21709.138671875,21922.532835793474,27,0.5694810152053833,-10835.5458984375,21719.091796875,21908.775498135867,24,-10848.9638671875,21747.927734375,21945.514923188402,25,0.6011231541633606,15.953125,0.0011593551509070377,42.7890625,5.110614154091309e-10
80,-11054.76171875,22163.5234375,22376.917601418474,27,0.4556645154953003,-11060.62109375,22169.2421875,22358.925888760867,24,-11091.87109375,22233.7421875,22431.329376313402,25,0.48214825987815857,11.71875,0.008411408440455292,74.21875,1.1102230246251565e-16
81,-10918.1611328125,21890.322265625,22103.716429543474,27,0.5165174603462219,-10944.8701171875,21937.740234375,22127.423935635867,24,-10943.07421875,21936.1484375,22133.735626313402,25,0.5353785753250122,53.41796875,1.4932499681208355e-11,49.826171875,1.514899317101026e-11
82,-11291.4638671875,22636.927734375,22850.321898293474,27,0.4388023316860199,-11305.5849609375,22659.169921875,22848.853623135867,24,-11327.810546875,22705.62109375,22903.208282563402,25,0.4836784899234772,28.2421875,3.2307948366616657e-06,72.693359375,1.1102230246251565e-16
83,-11347.7998046875,22749.599609375,22962.993773293474,27,0.4456329643726349,-11361.3212890625,22770.642578125,22960.326279385867,24,-11390.021484375,22830.04296875,23027.630157563402,25,0.4737406075000763,27.04296875,5.7664950989799735e-06,84.443359375,0.0
84,-11060.04296875,22174.0859375,22387.480101418474,27,0.45294588804244995,-11073.99609375,22195.9921875,22385.675888760867,24,-11102.6201171875,22255.240234375,22452.827423188402,25,0.49682196974754333,27.90625,3.800377372353836e-06,85.154296875,0.0
85,-11107.2451171875,22268.490234375,22481.884398293474,27,0.37757599353790283,-11106.76953125,22261.5390625,22451.222763760867,24,-11180.640625,22411.28125,22608.868438813402,25,0.40786221623420715,0.0,1.0,146.791015625,0.0
86,-10942.92578125,21939.8515625,22153.245726418474,27,0.4646015465259552,-10940.9765625,21929.953125,22119.636826260867,24,-11001.513671875,22053.02734375,22250.614532563402,25,0.4895825982093811,0.0,1.0,117.17578125,0.0
87,-11046.90234375,22147.8046875,22361.198851418474,27,0.4691833555698395,-11059.12109375,22166.2421875,22355.925888760867,24,-11090.46875,22230.9375,22428.524688813402,25,0.5084423422813416,24.4375,2.024059407135237e-05,87.1328125,0.0
88,-11304.068359375,22662.13671875,22875.530882668474,27,0.41551363468170166,-11305.9169921875,22659.833984375,22849.517685635867,24,-11331.98828125,22713.9765625,22911.563751313402,25,0.4276163876056671,3.697265625,0.29606412882405375,55.83984375,7.490674747145931e-13
89,-11066.232421875,22186.46484375,22399.859007668474,27,0.4923163950443268,-11085.611328125,22219.22265625,22408.906357510867,24,-11125.640625,22301.28125,22498.868438813402,25,0.5087093114852905,38.7578125,1.9532973571934065e-08,118.81640625,0.0
