sample_size,parameter,estimate
5000,sigma_Z,0.04422292858362198
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044218868017196655
5000,sigma_Z,0.04423079267144203
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.043986499309539795
5000,sigma_Z,0.044146109372377396
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04422251507639885
5000,sigma_Z,0.0440426841378212
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04412400349974632
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044121939688920975
5000,sigma_Z,0.044091906398534775
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044210802763700485
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04422122985124588
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044180963188409805
5000,sigma_Z,0.04413643851876259
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044136449694633484
5000,sigma_Z,0.0440533310174942
5000,sigma_Z,0.044194962829351425
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04418129846453667
5000,sigma_Z,0.044120773673057556
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04412520304322243
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04410163313150406
5000,sigma_Z,0.04411274567246437
5000,sigma_Z,0.04408271983265877
5000,sigma_Z,0.04423889145255089
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04408359155058861
5000,sigma_Z,0.044195376336574554
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044152066111564636
5000,sigma_Z,0.04413441941142082
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04401763528585434
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04415474086999893
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04417254775762558
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04404069855809212
5000,sigma_Z,0.044186197221279144
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044086020439863205
5000,sigma_Z,0.04409912973642349
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04414447769522667
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.044240158051252365
5000,sigma_Z,0.04416649043560028
5000,sigma_Z,0.044205259531736374
5000,beta_0,-6.349832057952881
5000,beta_0,-6.32288122177124
5000,beta_0,-6.277920246124268
5000,beta_0,-6.298330783843994
5000,beta_0,-6.310703754425049
5000,beta_0,-6.366737365722656
5000,beta_0,-6.341308116912842
5000,beta_0,-6.267442226409912
5000,beta_0,-6.3535308837890625
5000,beta_0,-6.282353401184082
5000,beta_0,-6.308572769165039
5000,beta_0,-6.291755199432373
5000,beta_0,-6.331272125244141
5000,beta_0,-6.276996612548828
5000,beta_0,-6.359847068786621
5000,beta_0,-6.319348335266113
5000,beta_0,-6.220252990722656
5000,beta_0,-6.332199573516846
5000,beta_0,-6.2978644371032715
5000,beta_0,-6.229959964752197
5000,beta_0,-6.260193347930908
5000,beta_0,-6.319065093994141
5000,beta_0,-6.291079044342041
5000,beta_0,-6.387875556945801
5000,beta_0,-6.2952775955200195
5000,beta_0,-6.333610534667969
5000,beta_0,-6.342918872833252
5000,beta_0,-6.31234884262085
5000,beta_0,-6.233396053314209
5000,beta_0,-6.353644847869873
5000,beta_0,-6.302170276641846
5000,beta_0,-6.357970237731934
5000,beta_0,-6.31727409362793
5000,beta_0,-6.30241060256958
5000,beta_0,-6.314304828643799
5000,beta_0,-6.312439918518066
5000,beta_0,-6.307719707489014
5000,beta_0,-6.365388870239258
5000,beta_0,-6.3537917137146
5000,beta_0,-6.328795433044434
5000,beta_0,-6.278557300567627
5000,beta_0,-6.367328643798828
5000,beta_0,-6.272622108459473
5000,beta_0,-6.303991794586182
5000,beta_0,-6.295063018798828
5000,beta_0,-6.344438076019287
5000,beta_0,-6.299295425415039
5000,beta_0,-6.329128265380859
5000,beta_0,-6.29718542098999
5000,beta_0,-6.328196048736572
5000,beta_0,-6.302853584289551
5000,beta_0,-6.311253070831299
5000,beta_0,-6.31354284286499
5000,beta_0,-6.345268726348877
